species,mean,gbif_occs,tax_prob
Speyeria atlantis irene,0.111257852,4,FALSE
Zerene eurydice,0.118259949,1847,FALSE
Phyciodes campestris montana,0.124293478,0,TRUE
Papilio rutulus,0.125043005,4309,FALSE
Polites sabuleti ssp.,0.129652007,0,TRUE
Phyciodes orseis herlani,0.134132196,0,TRUE
Lycaeides idas anna,0.143620588,0,TRUE
Battus philenor,0.1726922,12015,FALSE
Incisalia eryphon,0.19706876,1852,FALSE
Chlosyne hoffmanni,0.289231777,188,FALSE
Hesperia colorado ssp.,0.331623977,0,TRUE
Euphilotes battoides,0.342635941,1020,FALSE
Agriades podarce,0.351609298,0,TRUE
Thessalia leanira,0.444313135,999,FALSE
Speyeria coronis,0.466216372,767,FALSE
Epargyreus clarus,0.499870865,12372,FALSE
Cercyonis pegala boopis,0.780195401,87,FALSE
Agraulis vanillae,4.398083555,15736,FALSE
